ShapeId,SortId,Name,Centroid.x,Centroid.y,“0-4”,“5-9”,“10-14”,“15-19”,“20-24”,“25-29”,“30-34”,“35-39”,“40-44”,“45-49”,“50-54”,“55-59”,“60-64”,“65-69”,“70-74”,“75-79”,“80+”,TOTALS
21,22,Nyandarua,36.4655,-0.319991,94450,100854,96403,76194,56355,52762,54079,51352,42528,31447,19277,16847,13718,12604,6497,3953,3727,733047
22,23,Tharaka,37.9249,-0.189407,53188,51100,49294,43402,34984,32310,32936,28969,22511,19574,15006,12497,9949,7149,4487,2732,3145,423233
23,24,Kericho,35.3365,-0.240379,119331,111718,99514,90670,82246,67161,61691,51597,36725,30420,20584,15769,11407,7907,4909,3175,3247,818071
24,25,Kisumu,34.865,-0.156919,183006,155143,149030,141014,124048,100236,83484,63775,51608,39695,32149,25431,19031,14275,8927,5675,4230,1200757
25,26,Nyeri,36.9776,-0.325088,79294,82020,84594,76019,65766,64545,66498,62100,54511,42284,27294,24294,22380,17883,10426,6298,6674,792880
26,27,Tana River,39.4711,-1.35889,56920,50356,39803,33117,24790,21189,19260,16502,12844,10280,7958,5930,4495,2963,1815,1040,1257,310519
27,28,Kitui,38.3523,-1.24118,181788,184417,171246,150250,86793,71640,75288,70761,53716,42727,33566,31092,26516,18817,13475,7379,10023,1229494
28,29,Kirinyaga,37.3176,-0.576132,63565,66765,62934,54104,55553,59266,60103,52646,43821,33830,21801,17866,14594,10145,6795,3972,5056,632816
29,30,Embu,37.6405,-0.614689,70865,71231,69360,61469,51480,50357,50331,44016,37060,29887,20139,17747,13068,9412,6711,4049,4540,611722
30,31,Homa Bay,34.3995,-0.549772,198888,171893,157944,139546,106089,80916,70951,54445,45223,36720,30492,25150,19978,14927,9590,6534,4902,1174188
31,32,Bomet,35.261,-0.705622,188073,181794,159581,141956,118017,92293,84518,71689,49619,42246,29658,22886,17317,11890,7545,5257,5580,1229919
32,33,Nyamira,34.9609,-0.643503,105607,97261,89266,83569,64321,54166,49182,44857,33535,30990,21645,15042,11376,8037,5469,3261,2947,720531
33,34,Narok,35.5667,-1.26421,222136,193496,159637,128568,111171,91410,80055,69428,50488,36950,24201,17723,14219,10140,6353,3440,4340,1223755
34,35,Kisii,34.7745,-0.779043,216819,190362,176399,164240,128058,100193,88507,78740,59315,54210,39858,29232,21661,16054,10219,6523,5721,1386111
35,36,Murang'a,37.0408,-0.815278,124248,130415,131024,113688,87134,83070,86502,79622,68025,55590,40062,36809,31409,26176,14430,9248,9145,1126597
36,37,Migori,34.4066,-1.01412,197067,164590,145285,127302,99151,76983,67584,52936,41232,31418,25039,19358,14409,11533,6640,4681,3338,1088546
37,38,Kiambu,36.8146,-1.06762,229929,208902,193984,183800,215253,215428,201222,166470,126254,88046,56262,43598,32543,25699,13739,8292,8278,2017699
38,39,Machakos,37.4069,-1.28557,170901,169219,166685,152328,120949,109365,106685,91221,71418,58215,46319,38502,27371,20805,13317,7973,10227,1381500
39,40,Kajiado,36.9083,-2.13211,125706,111057,95679,82015,82689,78757,65958,56327,41574,26491,18333,12763,9241,6729,4162,2175,2712,822368
40,41,Nairobi,36.8623,-1.29764,496990,386227,320213,371982,616616,620814,509905,381055,258190,162609,97380,59955,35440,20767,10205,5505,5319,4359172
41,42,Makueni,37.7955,-2.15319,137707,146344,143095,127066,77327,66399,68469,64351,48664,40022,33414,30313,22242,16218,10638,6324,8739,1047332
42,43,Lamu,40.7952,-2.06281,18338,17129,14651,13811,11798,10140,9932,8750,7046,5030,3965,2946,2540,1564,1089,404,564,129697
43,44,Kilifi,39.6989,-3.19914,228633,208896,184509,157922,120531,101149,99264,79617,62459,46191,40382,30540,23729,18511,10458,6541,5928,1425260
44,45,Taita Taveta,38.4116,-3.44946,44819,42798,41369,39097,31509,29443,29495,26956,21426,16777,12901,11154,8379,6992,4122,2512,2132,371881
45,46,Kwale,39.1645,-4.16452,136970,121797,106347,90526,67966,60153,59612,47767,36732,27454,23881,17896,14324,10348,6166,3433,3208,834580
46,47,Mombasa,39.6706,-4.0313,152700,121310,103979,114980,155043,157407,135742,105029,70520,45447,29973,19440,12794,8254,4643,2541,2183,1241985
,,,,,,,,,,,,,,,,,,,,,,51589279
TOTALS,,,,,7291423,6994474,6501383,5677968,4810864,4177144,3864095,3238891,2539066,1864940,1373794,1045171,813335,588689,369755,217913,220374,51589279
